,City,Country,Lat,Lng,Temp,Humidity,Cloudiness,Winds,Date
0,Airai,TL,-8.93,125.41,84.04,40,0,2.28,1536639116
1,Deputatskiy,RU,69.3,139.9,34.18,91,92,16.49,1536639116
2,Hobart,AU,-42.88,147.33,66.2,48,75,18.34,1536636600
3,Maha Sarakham,TH,16.19,103.3,81.52,88,75,2.24,1536638400
4,Manokwari,ID,-0.87,134.08,82.69,100,24,6.2,1536639117
5,Hithadhoo,MV,-0.6,73.08,84.22,100,32,10.0,1536639481
6,Nishihara,JP,35.74,139.53,74.21,66,75,8.05,1536638160
7,Vostok,RU,46.45,135.83,60.01,62,0,2.84,1536639118
8,Alice Springs,AU,-23.7,133.88,87.8,8,0,6.93,1536636600
9,Waingapu,ID,-9.65,120.26,87.46,54,0,10.33,1536639482
10,Vargem Grande,BR,-23.71,-46.2,60.06,82,75,5.82,1536638400
11,Mataura,NZ,-46.19,168.86,53.26,77,0,12.57,1536639119
12,Georgetown,GY,6.8,-58.16,75.2,100,20,4.7,1536634800
13,Tongzi,CN,28.78,105.09,66.94,100,92,3.85,1536639120
14,Puerto Ayora,EC,-0.74,-90.35,70.72,100,12,12.35,1536639120
15,Saskylakh,RU,71.97,114.09,38.86,79,0,9.89,1536639120
16,Petrykivka,UA,48.71,34.62,60.8,100,90,8.95,1536638400
17,Thompson,CA,55.74,-97.86,39.2,93,90,2.24,1536634800
18,Pho Chai,TH,16.33,103.77,80.6,88,75,2.24,1536638400
19,Saint-Philippe,CA,45.36,-73.48,54.72,93,90,10.29,1536638100
20,Kapaa,US,22.08,-159.32,82.27,79,20,12.75,1536634560
21,New Norfolk,AU,-42.78,147.06,66.2,48,75,18.34,1536636600
22,Westport,IE,53.8,-9.52,53.35,92,88,16.82,1536639122
23,Virginia Beach,US,36.85,-75.98,78.24,90,40,3.36,1536638340
24,Marsh Harbour,BS,26.54,-77.06,82.33,100,68,1.5,1536639123
25,Kavieng,PG,-2.57,150.8,79.9,100,68,2.95,1536639123
26,Punta Arenas,CL,-53.16,-70.91,39.2,86,40,6.93,1536634800
27,Balabac,PH,7.99,117.06,83.68,100,88,13.13,1536639124
28,Avarua,CK,-21.21,-159.78,80.6,74,75,4.7,1536634800
29,Meulaboh,ID,4.14,96.13,81.61,100,68,2.17,1536639125
30,Albany,US,42.65,-73.75,57.63,86,90,5.19,1536638040
31,Jamestown,AU,-33.21,138.6,72.7,25,24,24.43,1536639126
32,Merritt Island,US,28.54,-80.67,75.47,90,1,5.82,1536634380
33,Butaritari,KI,3.07,172.79,85.66,100,48,14.14,1536639126
34,Tuktoyaktuk,CA,69.44,-133.03,30.2,86,90,16.11,1536634800
35,Ribeira Grande,PT,38.52,-28.7,75.04,96,0,8.21,1536639127
36,Rikitea,PF,-23.12,-134.97,73.51,100,8,7.43,1536639127
37,Bluff,AU,-23.58,149.07,79.72,32,0,8.88,1536639127
38,Ushuaia,AR,-54.81,-68.31,44.6,70,20,6.93,1536634800
39,Port Hedland,AU,-20.31,118.58,93.2,15,0,8.05,1536636600
40,Te Anau,NZ,-45.41,167.72,53.71,73,0,0.83,1536639128
41,Sabang,PH,13.72,123.58,86.11,85,12,4.74,1536639128
42,Beauraing,BE,50.11,4.96,56.57,82,0,10.29,1536637800
43,Longyearbyen,NO,78.22,15.63,35.6,93,40,16.11,1536637800
44,Port Alfred,ZA,-33.59,26.89,56.32,100,0,6.42,1536639129
45,Atuona,PF,-9.8,-139.03,77.92,100,8,15.59,1536639129
46,Mar del Plata,AR,-46.43,-67.52,54.16,50,44,14.7,1536639130
47,Kedougou,SN,12.56,-12.19,71.8,96,80,1.95,1536639130
48,Yellowknife,CA,62.45,-114.38,39.2,64,75,8.05,1536634800
49,Busselton,AU,-33.64,115.35,58.03,100,80,13.02,1536639081
50,Sur,OM,22.57,59.53,79.09,100,0,9.44,1536639131
51,Port Blair,IN,11.67,92.75,83.14,96,56,7.31,1536639131
52,Yulara,AU,-25.24,130.99,87.8,6,0,14.99,1536634800
53,Moree,AU,-29.46,149.84,69.91,71,0,7.09,1536639131
54,Tezpur,IN,26.62,92.79,74.23,99,92,3.74,1536639132
55,Cape Town,ZA,-33.93,18.42,42.8,100,0,1.12,1536634800
56,Kamenka,RU,53.19,44.05,62.17,46,92,10.67,1536639132
57,Mayo,CA,63.59,-135.9,53.6,46,75,5.82,1536634800
58,Pizarro,CO,4.95,-77.37,79.45,96,92,4.41,1536639133
59,Coquimbo,CL,-29.95,-71.34,53.6,87,90,4.7,1536634800
60,Kaitangata,NZ,-46.28,169.85,51.01,88,36,12.46,1536639134
61,Benguela,AO,-12.58,13.4,64.96,100,12,3.74,1536639134
62,Chokurdakh,RU,70.62,147.9,57.13,63,12,6.2,1536639134
63,Lorengau,PG,-2.02,147.27,82.33,100,88,5.19,1536639134
64,Niwari,IN,25.35,78.8,76.84,95,32,12.24,1536639135
65,Erzincan,TR,39.75,39.49,50.0,93,40,2.24,1536634200
66,Iqaluit,CA,63.75,-68.52,32.0,100,20,4.7,1536634800
67,Dikson,RU,73.51,80.55,35.8,100,92,20.07,1536639135
68,Kuldur,RU,49.22,131.63,61.63,61,24,6.87,1536639136
